retriever,alpha,qid,ee_d,ee_r,eu,ee_d_interval
bm25,1,31231,0.091667,0.133333,0.08465189553430119,0.0-0.2
bm25,1,31232,0.088889,0.133333,0.05628647466024658,0.0-0.2
bm25,1,31233,0.086111,0.15,0.1202626908206685,0.0-0.2
bm25,1,31234,0.097222,0.4,0.29064755556413574,0.0-0.2
bm25,1,31235,0.088889,0.133333,0.13073923854495037,0.0-0.2
bm25,1,31236,0.086111,0.033333,0.07491438175628308,0.0-0.2
bm25,1,31237,0.086111,0.133333,0.19018812859984333,0.0-0.2
bm25,1,31238,0.083333,0.116667,0.11073059311690751,0.0-0.2
bm25,1,31239,0.086111,0.3,0.11388141308655064,0.0-0.2
bm25,1,31240,0.088889,0.033333,0.1538533972989347,0.0-0.2
bm25,1,31241,0.088889,0.166667,0.09481349624932228,0.0-0.2
bm25,1,31242,0.091667,0.016667,0.20769117067399143,0.0-0.2
bm25,1,31243,0.088889,0.15,0.15624754412630207,0.0-0.2
bm25,1,31244,0.086111,0.016667,0.1351994313970687,0.0-0.2
bm25,1,31245,0.086111,0.05,0.20382983233999796,0.0-0.2
bm25,1,31246,0.094444,0.083333,0.08961038833621193,0.0-0.2
bm25,1,31247,0.086111,0.3,0.2058593266947997,0.0-0.2
bm25,1,31248,0.094444,0.566667,0.11858336936178838,0.0-0.2
bm25,1,31249,0.091667,0.4,0.3049035084745618,0.0-0.2
bm25,1,31250,0.097222,0.683333,0.44266621831626435,0.0-0.2
bm25,1,31251,0.083333,0.25,0.22626935832267248,0.0-0.2
bm25,1,31252,0.083333,0.066667,0.1234375346610995,0.0-0.2
bm25,1,31253,0.088889,0.0,0.7296977697120633,0.0-0.2
bm25,1,31254,0.086111,0.083333,0.2735014811229378,0.0-0.2
bm25,1,31255,0.086111,0.316667,0.17037380293786394,0.0-0.2
bm25,1,31256,0.086111,0.083333,0.10876840118503975,0.0-0.2
bm25,1,31257,0.097222,0.05,0.7808444364714133,0.0-0.2
bm25,1,31258,0.086111,0.083333,0.16586116660470224,0.0-0.2
bm25,1,31259,0.083333,0.15,0.117390063198157,0.0-0.2
bm25,1,31260,0.091667,0.0,0.16952782576440267,0.0-0.2
bm25,1,31261,0.091667,0.433333,0.3372223342755562,0.0-0.2
bm25,1,31263,0.394444,0.9,0.5264028848780624,0.2-0.4
bm25,1,31265,0.613889,0.55,0.19812214208983428,0.6-0.8
bm25,1,31266,0.627778,0.633333,0.25283167378247345,0.6-0.8
bm25,1,31268,0.430556,0.470721,0.2281290290718145,0.4-0.6
bm25,1,31271,0.333333,0.716667,0.37847693265021487,0.2-0.4
bm25,1,31272,0.322222,0.143836,0.3514652973127302,0.2-0.4
bm25,1,31273,0.275,0.333333,0.22555498806270188,0.2-0.4
bm25,1,31274,0.658333,0.666667,0.12314286908186761,0.6-0.8
bm25,1,31277,0.102778,0.233333,0.38959787525387013,0.0-0.2
bm25,1,31278,0.119444,0.216667,0.1778652689218101,0.0-0.2
